country;city;name;description;url;adress;phones;latlng;
Республика Беларусь;Минск;АВЕ ТД, Частное предприятие;Монтаж ворот, шлагбаумов и роллет.;www.vsevorota.by;г.Минск, ул.Новаторская, 35 к.3а;+375 44 752 82 45;53.936349, 27.542427;
Республика Беларусь;Брест;Система плюс, ЧУПП;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций. ремонт роллет, ворот, автоматики;www.sp.by;224020, РБ, г.Брест, ул.Московская 202;+375 29 646 30 28;52.094324, 23.732448;
Республика Беларусь;Брест;Крона Плюс, ООО;;krona.brest@gmail.com;224016, РБ, г. Брест, ул. Куйбышева, 64;+375 29 722 03 07;52.091103, 23.696758;
Республика Беларусь;Гродно;Электротехсервис, ЧПТУП;Монтаж ворот. Проектирование и монтаж электрических коммуникаций;;г. Гродно, пр. Клецкова, 14-49;+375 29 781 46 70, +375 29 936 42 73;53.649210, 23.839536;
Казахстан;Астана;"""ETALON GROUP"" ТОО";Реализация и установка подвижных ограждающих конструкций;www.etalon-group.kz;Ул Б.Майлина 4/1, офис 102;+7 717 246 79 11;51.142065, 71.466982;
Казахстан;Алматы;СК Арсенал, ТОО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж маркиз;www.arsenalck.kz;ул. Н-Данченко 18а;+7 727 266 77 47;43.260783, 76.866297;
Прибалтика;Kaunas;Furnika, UAB;"Проектирование и монтаж автоматики ""Nero Electronics""";www.furnika.lt;Sandeliu g. 4E;+3 706 768 39 33;54.896775, 23.886635;
Российская Федерация;Москва;"ООО ""ПТФ ""Альфа-Строй""";Монтаж рольставен и ворот. Ремонт рольставен и ворот. Ремонт роллет. ;www.alfarolstavni.ru;г. Москва, Лихоборская наб., 11;+7 495 728 28 85, +7 495 679 84 98;55.853592, 37.536428;37.536428
Российская Федерация;Москва;АЛЮМАРКЕТ, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций. Ремонт роллет. Ремонт ворот;www.alumarket.ru, www.mosgates.ru;г.Москва, Волоколамское шоссе, д.116, оф.409;+7 495 753 04 03, +7 495 913 85 17;55.829866, 37.412379;
Российская Федерация;Москва;"ООО""Строительный Мир НТ""";Монтаж роллет, рулонных штор. Монтаж ворот;www.rolstavni.ru;Промышленная 10,207;+7 495 730 28 1;55.635869, 37.630769;
Российская Федерация;Москва;Бабченко Т.А., ИП;;rollmarket.ru;г.Москва, ул.Беловежская, 39-1-7;+7 925 542 05 48;55.710666, 37.391987;
Российская Федерация;Москва;ЭталонМск,ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;www.mskroll.ru;Татьяны Макаровой, дом 3;+7 499 408 60 74;55.711458, 37.884174;
Российская Федерация;Москва;Ролетс, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Ремонт и обслуживание маркиз, ворот, рольставен и шлагбаумов;www.rollets.ru;Оболенский переулок, дом 9а (м. Фрунзенская);+7 495 991 91 54;55.731049, 37.579529;
Российская Федерация;Москва;"ООО ""Ролкомплект""";Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;www.rolins.ru;Москва г, ул. Плеханова, дом № 15, строение 2;+7 495  941 94 14;55.749927, 37.762974;
Российская Федерация;Москва;RollerDoor;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Монтаж жалюзи. Ремонт и обслуживание роллет и ворот. Автоматика для роллет и ворот;RollerDoor.ru;Улица Островитянова, 7;+7 495 741 99 06;55.644328, 37.494836;
Российская Федерация;Москва;ООО Перфект Систем;Монтаж роллет, рулонных штор. Монтаж ворот. Ремонт ворот, рольставен, автоматики;www.perfectdevice.ru;1-й Вешняковский проезд д.2 стр.3;+7 495 783 86 22;55.723582, 37.787695;
Российская Федерация;Наро-Фоминск;"ООО ""НФК""";Монтаж роллет, рулонных штор. Монтаж ворот;www.alyuteh.ru;ул. Погодина д. 93а; +7 985 218 52 70;55.371086, 36.748111;
Российская Федерация;Жуковский;Ворота для Вас, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Проектирование и монтаж электрических коммуникаций. Ремонт всех видов ворот и роллет.;www.gate4u.ru;г. Жуковский, ул. Гагарина, 2 фсис 407;+7 916 693 88 27;55.598421, 38.112526;
Российская Федерация;Наро-Фоминск;Строй-Ока;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Проектирование и монтаж электрических коммуникаций;www.stroy-oka.ru;д.Таширово вл.8;+7 926 208 07 05;55.424945, 36.667891;
Российская Федерация;Брянск;Решения для окон;Производство и монтаж жалюзи, рольставен.;www.jaluzi-bryansk.ru;пер. Гаражный, д. 2;+7 4832 41 83 72, +7 4832 41 17 07;53.244957, 34.340024;
Российская Федерация;Воронеж;Технологии Комфорта ООО;Монтаж рольставен, гаражных ворот, шлагбаумов. монтаж алюминиевых конструкций. монтаж кондиционеров.;www.tk36.ru;Московский проспект, 91;+7 473 241 79 93;51.703388, 39.179859;
Российская Федерация;Калуга;"\""Роллмарк\"" ИП Матвеева Ю.А.";Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Проектирование и монтаж электрических коммуникаций. Проектирование и монтаж электрических коммуникаций, продажа и установка электрических карнизов.;www.rollmark.ru, www.tkani40.ru;г. Калуга, пл. Мира, д. 4/1, оф. 30;+7 4842  40 15 95;54.514974, 36.244444;
Российская Федерация;Курск;"ООО ""Формула комфорта""";Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Системы контроля доступа;www.формула комфорта.com;Курск, ул. Энергетиков 2;+8 910 740 81 53;51.662300, 36.130465;
Российская Федерация;Орёл;ИП Рудакова Ирина Георгиевна;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций;www.masteruslugi.ru;г. Орёл, ул. Наугорское шоссе,5;+7 4862 44 03 97 (98) ;52.980354, 36.049231;
Российская Федерация;Ярославль;Компания Городъ, ООО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Монтаж жалюзи. Монтаж маркиз. ;www.rolletcenter.ru;Вспольинское поле д. 14 стр. 4 оф. 6;+7 4852 33 27 25;57.620062, 39.841325;
Российская Федерация;Краснодар;Мир СКБ, ООО;Монтаж ворот, автоматики, слаботочных систем и систем видеонаблюдения.;mirskb.ru;ул. Каляева, д. 147;+7 988 240 26 22;45.047367, 38.937611;
Российская Федерация;Волгоград;ТПК Форматон ООО;Монтаж роллетных и воротных систем, жалюзи. монтаж автоматики.;www.stavni-ru.ru;ул.Канунникова, д.6/1, оф.107;+8 442 26 02 73, +8 442 93 07 51;48.702275, 44.500904;
Российская Федерация;Ростов-на-Дону;"ЗАО ""АСТАХОВ""";Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций;rostov-na-donu.rollstandart.ru;г. Ростов-на-Дону, пр. Сельмаш 3;+8 989 511 53 69;47.249690, 39.763342;
Российская Федерация;Иркутск;ИП Машуков;ворота, рольставни, автоматика;atelyevorot.ru;Рабочего Штаба 29;+8 950 144 41 00;52.307118, 104.296803;
Российская Федерация;Челябинск;"ООО ""Автоматические Ворота и Рольставни. ФАСАД""";Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж маркиз;www.vorotafasad.ru www.avirfasad.ru;г. Челябинск, ул. Академика Сахарова, д. 12;+7 351 734 99 94;55.160396, 61.297370;
Российская Федерация;Нижний Новгород;Келлур, ООО;Автоматические, гаражные ворота, шлагбаумы и рольставни;kellur.nn.ru;ул. Ошарская, д. 72;+8 831 463 86 02, +8 831 414 77 50;56.312620, 44.015275;
Российская Федерация;Ульяновск;Вохмина Екатерина Сергеевна, ИП;Изготовление, продажа, монтаж, автоматизация;;ул. Марата, д.8, офис 4;+7 927 270 13 72;54.322778, 48.391472;
Российская Федерация;Ульяновск;"ЗАО ""АДОНИС""";Монтаж роллет, рулонных штор, жалюзи;adonis-plus.ru;9-ый проезд Инженерный, д. 1;0;54.348333, 48.568117;
Российская Федерация;Ульяновск;Автоматика для дома и офиса;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи;;г. Ульяновск, 9-й проезд Инженерный, д.1;+7 422  52 00 54;54.348333, 48.568117;
Российская Федерация;Самара;Аполло-С, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;apollo-s.ru;Ташкентская 196а;+7 987 449 57 65;53.259778, 50.239935;
Российская Федерация;Пятигорск;ООО Электротехнологии;Монтаж ворот, шлагбаумов. Проектирование и монтаж электрических коммуникаций;avtomat.eltehno.ru;г. Пятигорск, ул. Кисловодское шоссе, д.19;+8 928 341 40 24, +8 962 016 96 33;44.056732, 42.978547;
Российская Федерация;Санкт-Петербург;Юпитер СПб, ООО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Производство и монтаж окон.;www.rollets-spb.ru;г. Санкт-Петербург, Ярославский пр-т, д.66, к.1, пом 13Н.;+7 812 490 76 71;60.025107, 30.316057;
Российская Федерация;Санкт-Петербург;АГ-Сервис, ООО;Монтаж роллет, рулонных штор. Монтаж ворот.;www.agsystem.ru;г. Санкт-Петербург, Лахтинский пр.129А.;+7 812 441 36 36;59.994949, 30.130869;
Российская Федерация;Санкт-Петербург;Мавети, ООО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Интернет-магазин продукции Неро Электроникс;domokeys.net;пер.Челиева, д.17 оф.413 ;+7 812 981 43 33;59.888848, 30.482470;
Российская Федерация;Санкт-Петербург;РоллДоор, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. оконные заполнения.;www.rolldoor.ru;Санкт-Петербург, Фуражный пер., д. 3.;+7 812 313 99 09;59.938622, 30.373100;
Российская Федерация;Санкт-Петербург;Центр Оконных Конструкций, ООО;Монтаж роллет, рулонных штор. Срочный ремонт роллет и подъемно-секционных ворот;www.oknacwc.ru;ул. Руставели д.13;+7 921 932 46 22;60.002063, 30.438048;
Российская Федерация;Санкт-Петербург;Диполь-Сервис, ООО;Проектирование. Монтаж. Обслуживание. Срочный Ремонт. Роллеты, ворота, шлагбаумы, автоматика, контроль доступа.;www.dipol-service.ru;г. Санкт-Петербург, Серебристый бульвар, дом 21, пом. 48Н;+7 812 301 42 07;60.007074, 30.283933;
Российская Федерация;Санкт-Петербург;Слав-Монтаж, ООО;;www.slav-montazh.ru;г.Санкт-Петербург, ул Серебристый бульвар, дом 28;+8 911 250 35 38;60.009264, 30.282981;
Российская Федерация;Санкт-Петербург;А-ДВА, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;www.a-dva.blizko.ru;г.Санкт-Петербург, Средний пр. 4А, оф.306;+7 812 325 49 97;59.945720, 30.288218;
Российская Федерация;Череповец;Квадро-дем Сервис, ООО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Монтаж жалюзи. Проектирование и монтаж электрических коммуникаций. Сервисное обслуживание роллет,ворот, шлагбаумов,автоматических дверей.;;Вологодская обл.Г. Череповец, ул. Безымянная, д. 3, оф.106;+7 8202 60 64 34;59.135038, 38.006678;
Российская Федерация;Петрозаводск;Веал, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций. Ремонт ворот, роллет.;www.veal.karelia.ru;г. Петрозаводск, ул. Промышленная, 1110а.;+7 814 473 43 45;61.778066, 34.394758;
Российская Федерация;Калининград;РиВА, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;www.riva39.ru;г. Калининград, ул. Горького, д. 55, офис 296.;+7 4012 60 50 43;54.727656, 20.508682;
Российская Федерация;Мурманск;Гарант, ООО;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. Ворота, рольставни, шлагбаумы, видеонаблюдение, контроль доступа, автоматика.;www.Garant51.ru;пр-кт Ленина 82, офис 1011;+7 8152 60 60 07;68.971250, 33.076786;
Российская Федерация;Мурманск;ЕЛСМ+, ООО;Монтаж ворот, шлагбаумов. Монтаж жалюзи. Проектирование и монтаж электрических коммуникаций. Видеонаблюдение, системы контроля доступа, ОПС;;г. Мурманск, ул. Егорова, д. 14, оф. 404;+7 911 306 06 28;68.964890, 33.075304;
Украина;Днепропетровск;Алюмикс Украина, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж ворот, роллет, автоматики, шлагбаумов;www.alumix.com.ua;г. Днепропетровск, ул. Мостовая, 2/1А;+380 98 241 42 77;48.470828, 34.790053;
Украина;Запорожье;Алюрол, ООО;Защитные роллеты. Воротные системы. Рулонные шторы.;www.alurol.com.ua;г. Запорожье, Южное шоссе, 1, оф. 10;+380 95 046 77 83;47.865327, 35.113680;
Украина;Измаил;Бондарь Ф.А., СПД;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;www.bestvorota.com.ua;г. Измаил, проспект Суворова, 96;+380 66 373 87 99;45.356359, 28.837762;
Украина;Киев;КОМФОРТЛАЙН, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Cервисное обслуживание роллетных и воротных систем;www.comfortline.com.ua;г. Киев, ул. Константиновская, 72;+380 44 223 85 86;50.476044, 30.498469;
Украина;Киев;Прок, ЧПКП;Монтаж роллет, рулонных штор. Монтаж жалюзи;www.okna-prok.com.ua;г. Киев, бул. Чоколовский, 34, оф. 2;+380 67 502 72 44;50.434161, 30.454424;
Украина;Киев;Интелфлайт, ООО;"Проектирование и монтаж электрических коммуникаций. Системы ""Умного дома"", подбор светотехнического оборудования, светодиодное освещение, визуализация освещения зданий. Проектирование и строительство мини-фонтанов.";www.iff.com.ua;г. Киев, ул. Марины Расковой, 19, оф. 1021;+380 67 505 53 58;50.448525, 30.602835;
Украина;Луцк;Евродек, ЧП;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций;www.evrodek.com.ua;г. Луцк, ул. Нила Хасевича, 6;+380 50 921 03 07;50.745206, 25.351886;
Украина;Николаев;Евроокна, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций. Ремонт роллет, ремонт ворот, ремонт автоматики;www.evrookna.mk.ua;г. Николаев, ул. Малая Морская, 25;+380 67 512 52 90;46.967020, 31.994694;
Украина;Одесса;Интерьер Плюс, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;;г. Одесса, поспект Маршала Жукова, 53а;+380 48 233 03 19;46.410694, 30.716157;
Украина;Симферополь;Элим,ООО;;-;ул.Толстого 12;+380 50 654 72 11;46.482128, 30.727476;
Украина;Харьков;Фасадъ, ООО;Роллетные системы. Ворота. Автоматика. Сервис;www.fasad.kharkov.ua;г. Харьков, ул. Леси Украинки, 3;+380 57 757 47 40;49.987384, 36.272767;
Украина;Харьков;Навигатор;Монтаж роллет, рулонных штор. Монтаж жалюзи;www.na.com.ua;г. Харьков, ул. Текстильная, 86;+380 63 280 58 07;49.965694, 36.239395;
Украина;Черкассы;Круг-Викна, ООО;Монтаж роллет, рулонных штор. Монтаж ворот. Проектирование и монтаж электрических коммуникаций. монтаж и сервис автоматических дверей;www.okna.krug.ua;г. Черкассы, бульв. Шевченко, 205, оф. 21;+380 63 854 57 53;49.441984, 32.063900;
Украина;Бровары;Чернобай Игорь Валерьевич, ФЛП;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Ремонт перечисленных выше изделий, консультации, нестандартные решения.;;г. Бровары, ул. Гагарина, 27;+380 67 447 77 01;50.507728, 30.796790;
Украина;Запорожье;Урсула, ЧП;Проектирование и монтаж электрических коммуникаций. Проектирование и монтаж систем домашней автоматизации - умный дом;www.ursula-tools.com.ua;ул. Независимой Украины, 86 оф.10;+380 67 610 02 55;47.839019, 35.143648;
Украина;Киев;Якутович, ЧП;Монтаж роллет, рулонных штор. Монтаж ворот, шлагбаумов. ;;г. Киев, ул. Васильковская;+38 067 131 10 87;50.393946, 30.492216;
Украина;Одесса;Ecogroup, ФОП;Монтаж роллет, рулонных штор. Монтаж ворот. Монтаж жалюзи. Монтаж маркиз;;г. Одесса, ул. Пантелеймоновская, 25, 5 эт., офис 14;+380 95 773 40 47;46.469740, 30.732668;
Украина;Одесса;Роллси. СПД Клименко И.А.;Монтаж ворот. Монтаж жалюзи. Монтаж маркиз. Проектирование и монтаж электрических коммуникаций;rollsy.od.ua;ул.Р.Кармена,д.11 кв.29;+380 97 681 49 19;46.456431, 30.753680;
